first_name,last_name,email,phone,address,gender,age,registered,orders,spent,job,hobbies,is_married
Joseph,Rice,josephrice131@slingacademy.com,+1-800-040-3135x6208,"91773 Miller Shoal
Diaztown, FL 38841",male,43,18/12/18,7,568.29,Artist,Playing sports,0
Gary,Moore,garymoore386@slingacademy.com,221.945.4191x8872,"6450 John Lodge
Territon, KY 95945",male,71,03/01/20,11,568.92,Artist,Swimming,1
John,Walker,johnwalker944@slingacademy.com,388-142-4883x5370,"27265 Murray Island
Kevinfort, PA 63231",male,44,18/11/19,11,497.12,Clerk,Painting,0
Eric,Carter,ericcarter176@slingacademy.com,(451)259-5402,"USNS Knight
FPO AA 76532",male,38,14/09/18,17,834.6,Butcher,Playing musical instruments,0
William,Jackson,williamjackson427@slingacademy.com,625.626.9133x374,"170 Jackson Loaf
Kristenland, AS 48876",male,58,13/02/22,14,151.59,Engineer,Reading,0
Nicole,Jones,nicolejones228@slingacademy.com,1783534757,"14354 Baker Harbor Apt. 017
Ericville, HI 11192",female,33,22/03/21,19,33.17,Unemployed,Running,1
David,Davis,daviddavis980@slingacademy.com,067.435.8553x692,"021 Katherine Mall
Jameston, DC 24685",male,59,29/01/22,9,970.96,Doctor,Playing sports,0
Jason,Montgomery,jasonmontgomery889@slingacademy.com,001-208-220-1519,"14657 Scott Loop Apt. 735
Port Ashley, NH 34470",male,58,28/06/21,12,676.2,Waitress,Collecting,0
Kent,Weaver,kentweaver695@slingacademy.com,(000)101-6979x011,"6644 Mitchell Burg
Victorhaven, KS 66356",male,61,24/01/23,1,674.37,Clerk,Hiking,0
Darrell,Dillon,darrelldillon573@slingacademy.com,(156)423-0600x52870,"PSC 7267, Box 9911
APO AE 49343",male,50,28/04/22,12,750.72,Dentist,Watching movies,0
Jacqueline,Wang,jacquelinewang322@slingacademy.com,691-557-6502,"16963 Stewart Curve Suite 279
South Cameron, ND 25136",female,22,23/09/22,12,962.47,Housewife,Collecting,0
Jodi,Gonzalez,jodigonzalez185@slingacademy.com,137.205.7066,"378 Johnson Oval
South Stacie, RI 76332",female,69,07/02/21,12,68.67,Baker,Photography,0
Omar,Martin,omarmartin769@slingacademy.com,199081228,"Unit 9103 Box 4771
DPO AA 16592",male,28,10/01/23,3,162.58,Doctor,Gardening,1
Nicole,Lara,nicolelara473@slingacademy.com,160-139-7065,"9822 Lisa Courts
Johnhaven, IL 80438",female,77,16/10/22,17,309.81,Janitor,Hiking,1
Jason,Brown,jasonbrown753@slingacademy.com,+1-449-094-1105x03038,"7310 Romero Summit
East Scotttown, DC 53183",male,63,20/07/22,13,763.27,Lawyer,Fishing,1
David,Benson,davidbenson257@slingacademy.com,3037692300,"444 Derek Summit
Lisaborough, WA 20685",male,61,28/11/21,17,111.11,Lawyer,Meditation,1
Kimberly,Mora,kimberlymora513@slingacademy.com,178967409,"7679 Perry Square
West Amybury, RI 15144",female,34,01/01/19,10,208.46,Farmer,Collecting,0
Erik,Macias,erikmacias904@slingacademy.com,135-367-2526x9925,"568 Christopher Tunnel
Toddburgh, DE 86966",male,25,02/12/19,8,439.53,Accountant,Fishing,0
James,Johnson,jamesjohnson681@slingacademy.com,(303)790-8926,"19870 Sean Parkway
North Jamesfurt, NC 28950",male,67,02/10/18,5,394.95,Security Guard,Watching movies,0
